财务因子单因子 Rank IC(10年窗口, TEST_START=2017-01-01, 每20日调仓)
对照: 模型整体 full +0.471 / tech_only +0.126 / 财务贡献 ~+0.15 / size ~+0.18

因子                       Rank IC     ICIR    IC>0    期数
gross_margin                +nan     +nan    20%   115
size                     -0.0344   -0.298    37%   115
ocf_roa                  +0.0291   +0.412    67%   115
roe                      +0.0237   +0.235    62%   115
log_pe_ttm               -0.0183   -0.149    39%   115
ocf_to_np                +0.0140   +0.209    56%   115
log_pb                   +0.0133   +0.091    54%   115
np_growth                +0.0084   +0.101    54%   115
log_pcf                  -0.0084   -0.079    49%   115
rev_growth               +0.0080   +0.092    54%   115
debt_ratio               -0.0043   -0.066    46%   115
net_asset_growth         -0.0038   -0.050    47%   115
total_asset_growth       +0.0035   +0.044    55%   115

---- 原始值(未中性化) ----
gross_margin             +0.0577   +0.494    60%    35
log_mcap                 -0.0495   -0.249    43%   115
ocf_roa                  +0.0386   +0.331    59%   115
ocf_to_np                +0.0268   +0.274    58%   115
roe                      +0.0241   +0.145    58%   115
debt_ratio               -0.0200   -0.107    44%   115
rev_growth               +0.0198   +0.129    57%   115
np_growth                +0.0161   +0.104    56%   115
total_asset_growth       +0.0098   +0.061    55%   115
net_asset_growth         -0.0028   -0.022    55%   115
