提高 IC 扫描 (embargo 口径, tech_only 技术22+超额3)
=====================================================

标签形式 x 预测周期;embargo = ceil(horizon*1.5) 日历天
OOS 2017-01-01 起, 每 20 交易日调仓, 点-in-time 成分股

horizon label      Rank IC    ICIR    IC>0      SE    期数
10      class      +0.0286  +0.304   63.2%  0.0087   117
10      reg        +0.0154  +0.166   57.3%  0.0086   117
10      rank       -0.0138  -0.100   44.4%  0.0128   117
20      class      +0.0216  +0.214   62.1%  0.0094   116
20      reg        +0.0169  +0.188   56.9%  0.0083   116
20      rank       -0.0147  -0.101   52.6%  0.0135   116
30      class      +0.0297  +0.267   62.6%  0.0104   115
30      reg        +0.0210  +0.234   58.3%  0.0084   115
30      rank       -0.0080  -0.059   53.9%  0.0125   115
60      class      +0.0286  +0.258   62.5%  0.0105   112
60      reg        +0.0224  +0.213   57.1%  0.0100   112
60      rank       -0.0149  -0.135   44.6%  0.0104   112
