Q5 买入推荐榜（跑赢沪深300概率最高的前20%）
====================================================
模型：pooled 5年训练 + 22特征 + 30天周期 + 正向信号
标签：未来30日收益 是否跑赢沪深300（相对收益）
预测截面日期：2026-08-26（最新交易日）
共 60 只

序号   代码       名称                收盘价       跑赢概率
----------------------------------------------------
1    688041   海光信息           230.96      69.5%
2    600930   华电新能             4.00      58.2%
3    601868   中国能建             2.53      57.7%
4    600795   国电电力             5.23      57.7%
5    601688   华泰证券            19.14      57.4%
6    600023   浙能电力             4.95      57.2%
7    601398   工商银行             7.92      57.1%
8    688047   龙芯中科           103.01      56.8%
9    601059   信达证券            16.75      56.7%
10   601669   中国电建             4.68      56.7%
11   600918   中泰证券             5.80      56.5%
12   601328   交通银行             7.17      56.2%
13   601988   中国银行             6.20      55.6%
14   600027   华电国际             4.65      55.6%
15   600674   川投能源            15.69      55.5%
16   600958   东方证券             9.13      55.5%
17   601288   农业银行             6.86      55.2%
18   601939   建设银行            10.67      55.0%
19   001391   国货航              4.16      54.8%
20   600050   中国联通             4.31      54.8%
21   601838   成都银行            18.79      54.6%
22   688506   百利天恒           269.18      54.3%
23   601901   方正证券             6.82      54.3%
24   601229   上海银行             9.72      54.2%
25   600029   南方航空             5.08      54.0%
26   601766   中国中车             6.18      53.9%
27   002709   天赐材料            36.78      53.9%
28   601111   中国国航             5.96      53.7%
29   600018   上港集团             5.27      53.6%
30   600048   保利发展             5.26      53.6%
31   600030   中信证券            27.77      53.5%
32   601800   中国交建             6.02      53.4%
33   601878   浙商证券             9.33      53.3%
34   000166   申万宏源             4.56      53.2%
35   601456   国联民生             8.88      53.2%
36   601658   邮储银行             5.08      53.1%
37   601881   中国银河            12.25      53.0%
38   601211   国泰海通            17.85      53.0%
39   000895   双汇发展            25.07      52.8%
40   601390   中国中铁             4.46      52.8%
41   000001   平安银行            11.73      52.7%
42   300450   先导智能            33.60      52.7%
43   601377   兴业证券             5.93      52.7%
44   601009   南京银行            11.72      52.7%
45   688009   中国通号             5.03      52.7%
46   600221   海航控股             1.31      52.6%
47   600276   恒瑞医药            46.74      52.4%
48   300413   芒果超媒            14.11      52.4%
49   600061   国投资本             6.48      52.2%
50   600015   华夏银行             6.77      52.1%
51   601916   浙商银行             2.97      52.0%
52   600011   华能国际             6.73      51.9%
53   600039   四川路桥             8.68      51.8%
54   600010   包钢股份             2.26      51.8%
55   601618   中国中冶             2.64      51.8%
56   600926   杭州银行            16.80      51.7%
57   601727   上海电气             6.61      51.6%
58   600886   国投电力            14.05      51.6%
59   600115   中国东航             3.60      51.5%
60   600372   中航机载            10.96      51.5%
