==============================================================
月度滚动 walk-forward 报告 (LightGBM 方向预测)
==============================================================

样本池   : 300 只股票,367471 条样本
预测目标 : 未来 30 日涨跌方向
扩张窗口 : 2021-01-01 起
测试区间 : 2024-02 ~ 2026-07 (30 个月)

平均方向准确率(扩张窗口) : 52.30%
平均方向准确率(1年窗口)  : 51.18%
提升幅度                 : +1.12%
扩张窗优于1年窗月份占比  : 60.0%
反向信号后准确率         : 47.70%

逐月明细:
月份               扩张窗       1年窗        提升     测试数
2024-02      49.41%   51.72%   -2.31%    4455
2024-03      49.45%   49.95%   -0.50%    6232
2024-04      50.70%   49.59%   +1.11%    5937
2024-05      61.12%   60.34%   +0.78%    5933
2024-06      59.03%   61.95%   -2.92%    5643
2024-07      60.79%   60.73%   +0.06%    6822
2024-08      45.48%   36.53%   +8.95%    6526
2024-09      40.89%   35.17%   +5.72%    5615
2024-10      44.96%   45.41%   -0.45%    5340
2024-11      65.78%   64.38%   +1.40%    6230
2024-12      63.38%   59.14%   +4.24%    6534
2025-01      46.64%   54.99%   -8.35%    5341
2025-02      56.12%   55.53%   +0.58%    5339
2025-03      63.16%   56.35%   +6.81%    6216
2025-04      54.86%   56.53%   -1.67%    6241
2025-05      47.51%   46.05%   +1.45%    5652
2025-06      40.92%   55.50%  -14.57%    5950
2025-07      39.48%   55.00%  -15.52%    6854
2025-08      36.17%   48.93%  -12.77%    6243
2025-09      53.45%   54.35%   -0.90%    6541
2025-10      59.83%   47.47%  +12.36%    5066
2025-11      43.16%   45.45%   -2.28%    5961
2025-12      41.52%   54.96%  -13.44%    6840
2026-01      56.85%   44.07%  +12.78%    5972
2026-02      59.88%   52.43%   +7.45%    4177
2026-03      52.59%   49.74%   +2.85%    6572
2026-04      50.60%   42.22%   +8.38%    6291
2026-05      52.44%   50.51%   +1.93%    5399
2026-06      57.29%   43.66%  +13.62%    6298
2026-07      65.70%   46.78%  +18.92%    3292
